time,value
2008012822,18.4
2008012823,16.4
2008012900,17.9
2008012901,17.8
2008012902,17.3
2008012903,18.2
2008012904,18.1
2008012905,17.9
2008012906,18.5
2008012907,19.0
2008012908,18.8
2008012909,19.5
2008012910,19.3
2008012911,18.4
2008012912,20.0
2008012913,20.2
2008012914,19.5
2008012915,20.4
2008012916,20.1
2008012917,19.7
2008012918,20.0
2008012919,19.0
2008012920,18.9
2008012921,19.4
2008012922,18.0
2008012923,19.7
2008013000,20.7
2008013001,18.4
2008013002,19.3
2008013003,20.0
2008013004,19.6
2008013005,20.7
2008013006,21.1
2008013007,21.1
2008013008,19.6
2008013009,19.0
2008013010,20.9
2008013011,21.6
2008013012,20.8
2008013013,19.0
2008013014,19.7
2008013015,19.5
2008013016,20.7
2008013017,20.8
2008013018,19.1
2008013019,16.6
2008013020,17.6
2008013021,18.9
2008013022,19.5
2008013023,17.0
2008013100,18.5
2008013101,18.9
2008013102,19.3
2008013103,19.4
2008013104,20.2
2008013105,19.5
2008013106,19.3
2008013107,21.6
2008013108,19.9
2008013109,21.4
2008013110,19.8
2008013111,20.6
2008013112,19.8
2008013113,21.0
2008013114,19.3
2008013115,19.4
2008013116,18.9
2008013117,19.1
2008013118,17.5
2008013119,18.0
2008013120,17.8
2008013121,17.1
2008013122,17.3
2008013123,18.6
2008020100,18.0
2008020101,19.7
2008020102,17.7
2008020103,17.6
2008020104,18.6
2008020105,19.1
2008020106,19.8
2008020107,19.4
2008020108,19.8
2008020109,21.1
2008020110,19.9
2008020111,19.9
2008020112,19.6
2008020113,19.7
2008020114,21.1
2008020115,20.2
2008020116,19.9
2008020117,18.4
2008020118,19.0
2008020119,19.2
2008020120,18.7
2008020121,20.2
2008020122,17.9
2008020123,17.0
2008020200,18.3
2008020201,19.0
2008020202,17.9
2008020203,18.1
2008020204,17.3
2008020205,19.2
2008020206,18.8
2008020207,19.6
2008020208,20.2
2008020209,19.5
2008020210,19.7
2008020211,21.0
2008020212,21.1
2008020213,18.8
2008020214,20.2
2008020215,19.3
2008020216,20.2
2008020217,19.7
2008020218,20.1
2008020219,19.1
2008020220,18.5
2008020221,18.8
2008020222,19.1
2008020223,19.5
2008020300,16.7
2008020301,19.1
2008020302,18.3
2008020303,18.4
2008020304,19.2
2008020305,19.6
2008020306,19.8
2008020307,18.8
2008020308,20.2
2008020309,21.6
2008020310,21.4
2008020311,20.9
2008020312,21.7
2008020313,21.2
2008020314,21.1
2008020315,20.7
2008020316,20.6
2008020317,20.6
2008020318,20.1
2008020319,20.6
2008020320,19.2
2008020321,19.0
2008020322,19.3
2008020323,19.3
2008020400,19.3
2008020401,19.3
2008020402,19.0
2008020403,19.2
2008020404,20.6
2008020405,20.1
2008020406,20.6
2008020407,20.6
2008020408,20.7
2008020409,21.1
2008020410,21.2
2008020411,21.7
2008020412,20.9
2008020413,21.4
2008020414,21.6
2008020415,20.2
2008020416,18.8
2008020417,19.8
2008020418,19.6
2008020419,19.2
2008020420,18.4
2008020421,22.2
2008020422,20.0
2008020423,20.3
2008020500,20.7
2008020501,21.1
2008020502,20.8
2008020503,19.7
2008020504,19.5
2008020505,18.5
2008020506,19.6
2008020507,19.7
2008020508,20.1
2008020509,20.8
2008020510,20.8
2008020511,21.3
2008020512,20.7
2008020513,20.4
2008020514,19.8
2008020515,19.7
2008020516,19.6
2008020517,20.0
2008020518,19.7
2008020519,18.6
2008020520,17.3
2008020521,19.0
2008020522,17.9
2008020523,17.7
2008020600,17.9
2008020601,19.0
2008020602,18.8
2008020603,18.8
2008020604,19.5
2008020605,20.9
2008020606,18.7
2008020607,19.6
2008020608,20.9
2008020609,20.2
2008020610,22.1
2008020611,20.8
2008020612,20.1
2008020613,19.9
2008020614,20.1
2008020615,18.6
2008020616,18.9
2008020617,20.4
2008020618,18.5
2008020619,18.4
2008020620,18.0
2008020621,20.2
2008020622,20.0
2008020623,18.7
2008020700,20.3
2008020701,20.7
2008020702,19.4
2008020703,21.2
2008020704,21.1
2008020705,21.0
2008020706,20.1
2008020707,22.5
2008020708,21.2
2008020709,23.6
2008020710,23.0
2008020711,23.4
2008020712,23.0
2008020713,23.3
2008020714,23.2
2008020715,23.8
2008020716,23.1
2008020717,21.8
2008020718,22.9
2008020719,21.5
2008020720,18.8
2008020721,21.7
2008020722,19.3
2008020723,18.2
2008020800,19.4
2008020801,18.5
2008020802,20.7
2008020803,19.2
2008020804,19.3
2008020805,18.4
2008020806,19.2
2008020807,20.3
2008020808,20.9
2008020809,20.2
2008020810,20.5
2008020811,20.6
2008020812,19.5
2008020813,21.2
2008020814,20.1
2008020815,20.7
2008020816,18.7
2008020817,20.1
2008020818,18.9
2008020819,18.2
2008020820,18.9
2008020821,19.2
2008020822,17.9
2008020823,19.2
2008020900,17.7
2008020901,19.3
2008020902,17.7
2008020903,18.2
2008020904,18.9
2008020905,19.3
2008020906,19.2
2008020907,18.9
2008020908,19.1
2008020909,18.8
2008020910,17.5
2008020911,20.2
2008020912,20.4
2008020913,18.0
2008020914,18.1
2008020915,17.8
2008020916,17.7
2008020917,17.2
2008020918,17.8
2008020919,16.3
2008020920,16.5
2008020921,17.8
2008020922,18.2
2008020923,16.1
2008021000,16.6
2008021001,16.1
2008021002,16.4
